number,name,position,age,nation,team,value
1,Kylian Mbappé,Centre-Forward,22,France,Paris Saint-Germain,€160.00m
2,Erling Haaland,Centre-Forward,21,Norway,Borussia Dortmund,€130.00m
3,Harry Kane,Centre-Forward,28,England,Tottenham Hotspur,€120.00m
4,Jadon Sancho,Right Winger,21,England,Manchester United,€100.00m
5,Mohamed Salah,Right Winger,29,Egypt,Liverpool FC,€100.00m
6,Romelu Lukaku,Centre-Forward,28,Belgium,Inter Milan,€100.00m
7,Kevin De Bruyne,Attacking Midfield,30,Belgium,Manchester City,€100.00m
8,Neymar,Left Winger,29,Brazil,Paris Saint-Germain,€100.00m
9,Frenkie de Jong,Central Midfield,24,Netherlands,FC Barcelona,€90.00m
10,Bruno Fernandes,Attacking Midfield,26,Portugal,Manchester United,€90.00m
11,Joshua Kimmich,Defensive Midfield,26,Germany,Bayern Munich,€90.00m
12,Raheem Sterling,Left Winger,26,England,Manchester City,€90.00m
13,Marcus Rashford,Left Winger,23,England,Manchester United,€85.00m
14,Sadio Mané,Left Winger,29,Senegal,Liverpool FC,€85.00m
15,Heung-min Son,Left Winger,29,"Korea, South",Tottenham Hotspur,€85.00m
16,Pedri,Central Midfield,18,Spain,FC Barcelona,€80.00m
17,João Félix,Second Striker,21,Portugal,Atlético de Madrid,€80.00m
18,Phil Foden,Left Winger,21,England,Manchester City,€80.00m
19,Lautaro Martínez,Centre-Forward,23,Argentina,Inter Milan,€80.00m
20,Marcos Llorente,Central Midfield,26,Spain,Atlético de Madrid,€80.00m
21,Lionel Messi,Right Winger,34,Argentina,Without Club,€80.00m
22,Mason Mount,Attacking Midfield,22,England,Chelsea FC,€75.00m
23,Matthijs de Ligt,Centre-Back,21,Netherlands,Juventus FC,€75.00m
24,Trent Alexander-Arnold,Right-Back,22,England,Liverpool FC,€75.00m
25,Rúben Dias,Centre-Back,24,Portugal,Manchester City,€75.00m
26,Marquinhos,Centre-Back,27,Brazil,Paris Saint-Germain,€75.00m
27,Alphonso Davies,Left-Back,20,Canada,Bayern Munich,€70.00m
28,Declan Rice,Defensive Midfield,22,England,West Ham United,€70.00m
29,Rodri,Defensive Midfield,25,Spain,Manchester City,€70.00m
30,Mikel Oyarzabal,Left Winger,24,Spain,Real Sociedad,€70.00m
31,Federico Chiesa,Right Winger,23,Italy,Juventus FC,€70.00m
32,Kai Havertz,Attacking Midfield,22,Germany,Chelsea FC,€70.00m
33,Sergej Milinković-Savić,Central Midfield,26,Serbia,SS Lazio,€70.00m
34,Bernardo Silva,Attacking Midfield,26,Portugal,Manchester City,€70.00m
35,Raphaël Varane,Centre-Back,28,France,Real Madrid,€70.00m
36,Serge Gnabry,Right Winger,26,Germany,Bayern Munich,€70.00m
37,Leon Goretzka,Central Midfield,26,Germany,Bayern Munich,€70.00m
38,Jan Oblak,Goalkeeper,28,Slovenia,Atlético de Madrid,€70.00m
39,Casemiro,Defensive Midfield,29,Brazil,Real Madrid,€70.00m
40,Bukayo Saka,Left Midfield,19,England,Arsenal FC,€65.00m
